NAME                                                 READY   STATUS    RESTARTS   AGE
bert-arabic-mlm-soumajs-v3-88b39e4b7f994-master-0    1/1     Running   0          4h29m
bert-arabic-mlm-soumajs-v3-88b39e4b7f994-worker-0    1/1     Running   0          4h29m
bert-arabic-mlm-soumajs-v3-88b39e4b7f994-worker-1    1/1     Running   0          4h29m
bert-arabic-mlm-soumajs-v3-88b39e4b7f994-worker-10   1/1     Running   0          4h29m
bert-arabic-mlm-soumajs-v3-88b39e4b7f994-worker-11   1/1     Running   0          4h29m
bert-arabic-mlm-soumajs-v3-88b39e4b7f994-worker-12   1/1     Running   0          4h29m
bert-arabic-mlm-soumajs-v3-88b39e4b7f994-worker-13   1/1     Running   0          4h29m
bert-arabic-mlm-soumajs-v3-88b39e4b7f994-worker-14   1/1     Running   0          4h29m
bert-arabic-mlm-soumajs-v3-88b39e4b7f994-worker-2    1/1     Running   0          4h29m
bert-arabic-mlm-soumajs-v3-88b39e4b7f994-worker-3    1/1     Running   0          4h29m
bert-arabic-mlm-soumajs-v3-88b39e4b7f994-worker-4    1/1     Running   0          4h29m
bert-arabic-mlm-soumajs-v3-88b39e4b7f994-worker-5    1/1     Running   0          4h29m
bert-arabic-mlm-soumajs-v3-88b39e4b7f994-worker-6    1/1     Running   0          4h29m
bert-arabic-mlm-soumajs-v3-88b39e4b7f994-worker-7    1/1     Running   0          4h29m
bert-arabic-mlm-soumajs-v3-88b39e4b7f994-worker-8    1/1     Running   0          4h29m
bert-arabic-mlm-soumajs-v3-88b39e4b7f994-worker-9    1/1     Running   0          4h29m
chawk-mtl-100b-4f4c849ed2a047e38919435c0-master-0    1/1     Running   0          4h50m
chawk-mtl-100b-4f4c849ed2a047e38919435c0-worker-0    1/1     Running   0          4h50m
chawk-mtl-100b-4f4c849ed2a047e38919435c0-worker-1    1/1     Running   0          4h50m
chawk-mtl-100b-4f4c849ed2a047e38919435c0-worker-2    1/1     Running   0          4h50m
chawk-mtl-100b-4f4c849ed2a047e38919435c0-worker-3    1/1     Running   0          4h50m
chawk-mtl-100b-4f4c849ed2a047e38919435c0-worker-4    1/1     Running   0          4h50m
chawk-mtl-100b-4f4c849ed2a047e38919435c0-worker-5    1/1     Running   0          4h50m
chawk-mtl-100b-4f4c849ed2a047e38919435c0-worker-6    1/1     Running   0          4h50m
chawk-mtl-100b-5cfb69e1a79445f7af790e2ca-master-0    1/1     Running   0          151m
chawk-mtl-100b-5cfb69e1a79445f7af790e2ca-worker-0    1/1     Running   0          151m
chawk-mtl-100b-5cfb69e1a79445f7af790e2ca-worker-1    1/1     Running   0          151m
chawk-mtl-100b-5cfb69e1a79445f7af790e2ca-worker-2    1/1     Running   0          151m
chawk-mtl-100b-5cfb69e1a79445f7af790e2ca-worker-3    1/1     Running   0          151m
chawk-mtl-100b-5cfb69e1a79445f7af790e2ca-worker-4    1/1     Running   0          151m
chawk-mtl-100b-5cfb69e1a79445f7af790e2ca-worker-5    1/1     Running   0          151m
chawk-mtl-100b-5cfb69e1a79445f7af790e2ca-worker-6    1/1     Running   0          151m
chawk-mtl-100b-648b7efeffbf4107910e1ba8a-master-0    1/1     Running   0          5h14m
chawk-mtl-100b-648b7efeffbf4107910e1ba8a-worker-0    1/1     Running   0          5h14m
chawk-mtl-100b-648b7efeffbf4107910e1ba8a-worker-1    1/1     Running   0          5h14m
chawk-mtl-100b-648b7efeffbf4107910e1ba8a-worker-2    1/1     Running   0          5h14m
chawk-mtl-100b-648b7efeffbf4107910e1ba8a-worker-3    1/1     Running   0          5h14m
chawk-mtl-100b-648b7efeffbf4107910e1ba8a-worker-4    1/1     Running   0          5h14m
chawk-mtl-100b-648b7efeffbf4107910e1ba8a-worker-5    1/1     Running   0          5h14m
chawk-mtl-100b-648b7efeffbf4107910e1ba8a-worker-6    1/1     Running   0          5h14m
chawk-mtl-100b-88665bae0e4f4d6e9f2b75a44-master-0    1/1     Running   0          5h7m
chawk-mtl-100b-88665bae0e4f4d6e9f2b75a44-worker-0    1/1     Running   0          5h7m
chawk-mtl-100b-88665bae0e4f4d6e9f2b75a44-worker-1    1/1     Running   0          5h7m
chawk-mtl-100b-88665bae0e4f4d6e9f2b75a44-worker-2    1/1     Running   0          5h7m
chawk-mtl-100b-88665bae0e4f4d6e9f2b75a44-worker-3    1/1     Running   0          5h7m
chawk-mtl-100b-88665bae0e4f4d6e9f2b75a44-worker-4    1/1     Running   0          5h7m
chawk-mtl-100b-88665bae0e4f4d6e9f2b75a44-worker-5    1/1     Running   0          5h7m
chawk-mtl-100b-88665bae0e4f4d6e9f2b75a44-worker-6    1/1     Running   0          5h7m
colehawk-g4-dev-042b3e39971d41-master-0              1/1     Running   0          7d5h
fsx-app                                              1/1     Running   0          108d
gpt2-13b-bth4x2x8x16-lr1e-3-st100-d20123-master-0    1/1     Running   0          19h
gpt2-13b-bth4x2x8x16-lr1e-3-st100-d20123-worker-0    1/1     Running   0          19h
gpt2-13b-bth4x2x8x16-lr1e-3-st100-d20123-worker-1    1/1     Running   0          19h
gpt2-13b-bth4x2x8x16-lr1e-3-st100-d20123-worker-10   1/1     Running   0          19h
gpt2-13b-bth4x2x8x16-lr1e-3-st100-d20123-worker-11   1/1     Running   0          19h
gpt2-13b-bth4x2x8x16-lr1e-3-st100-d20123-worker-12   1/1     Running   0          19h
gpt2-13b-bth4x2x8x16-lr1e-3-st100-d20123-worker-13   1/1     Running   0          19h
gpt2-13b-bth4x2x8x16-lr1e-3-st100-d20123-worker-14   1/1     Running   0          19h
gpt2-13b-bth4x2x8x16-lr1e-3-st100-d20123-worker-2    1/1     Running   0          19h
gpt2-13b-bth4x2x8x16-lr1e-3-st100-d20123-worker-3    1/1     Running   0          19h
gpt2-13b-bth4x2x8x16-lr1e-3-st100-d20123-worker-4    1/1     Running   0          19h
gpt2-13b-bth4x2x8x16-lr1e-3-st100-d20123-worker-5    1/1     Running   0          19h
gpt2-13b-bth4x2x8x16-lr1e-3-st100-d20123-worker-6    1/1     Running   0          19h
gpt2-13b-bth4x2x8x16-lr1e-3-st100-d20123-worker-7    1/1     Running   0          19h
gpt2-13b-bth4x2x8x16-lr1e-3-st100-d20123-worker-8    1/1     Running   0          19h
gpt2-13b-bth4x2x8x16-lr1e-3-st100-d20123-worker-9    1/1     Running   0          19h
jsuarezz-integration-c57437022-master-0              1/1     Running   0          96m
jsuarezz-pile-p3-merge-9098511-master-0              1/1     Running   0          6h39m
jsuarezz-pile-p3-r05-x16-1a3038124bb14dd-master-0    1/1     Running   0          64m
jsuarezz-pile-p3-r05-x16-1a3038124bb14dd-worker-0    1/1     Running   0          64m
jsuarezz-pile-p3-r05-x16-1a3038124bb14dd-worker-1    1/1     Running   0          64m
jsuarezz-pile-p3-r05-x16-1a3038124bb14dd-worker-10   1/1     Running   0          64m
jsuarezz-pile-p3-r05-x16-1a3038124bb14dd-worker-11   1/1     Running   0          64m
jsuarezz-pile-p3-r05-x16-1a3038124bb14dd-worker-12   1/1     Running   0          64m
jsuarezz-pile-p3-r05-x16-1a3038124bb14dd-worker-13   1/1     Running   0          64m
jsuarezz-pile-p3-r05-x16-1a3038124bb14dd-worker-14   1/1     Running   0          64m
jsuarezz-pile-p3-r05-x16-1a3038124bb14dd-worker-2    1/1     Running   0          64m
jsuarezz-pile-p3-r05-x16-1a3038124bb14dd-worker-3    1/1     Running   0          64m
jsuarezz-pile-p3-r05-x16-1a3038124bb14dd-worker-4    1/1     Running   0          64m
jsuarezz-pile-p3-r05-x16-1a3038124bb14dd-worker-5    1/1     Running   0          64m
jsuarezz-pile-p3-r05-x16-1a3038124bb14dd-worker-6    1/1     Running   0          64m
jsuarezz-pile-p3-r05-x16-1a3038124bb14dd-worker-7    1/1     Running   0          64m
jsuarezz-pile-p3-r05-x16-1a3038124bb14dd-worker-8    1/1     Running   0          64m
jsuarezz-pile-p3-r05-x16-1a3038124bb14dd-worker-9    1/1     Running   0          64m
xlmr-14b-099a1253733e46bda8deef95fdec6fb-master-0    1/1     Running   0          2d18h
xlmr-14b-099a1253733e46bda8deef95fdec6fb-worker-0    1/1     Running   0          2d18h
xlmr-14b-099a1253733e46bda8deef95fdec6fb-worker-1    1/1     Running   0          2d18h
xlmr-14b-099a1253733e46bda8deef95fdec6fb-worker-10   1/1     Running   0          2d18h
xlmr-14b-099a1253733e46bda8deef95fdec6fb-worker-11   1/1     Running   0          2d18h
xlmr-14b-099a1253733e46bda8deef95fdec6fb-worker-12   1/1     Running   0          2d18h
xlmr-14b-099a1253733e46bda8deef95fdec6fb-worker-13   1/1     Running   0          2d18h
xlmr-14b-099a1253733e46bda8deef95fdec6fb-worker-14   1/1     Running   0          2d18h
xlmr-14b-099a1253733e46bda8deef95fdec6fb-worker-2    1/1     Running   0          2d18h
xlmr-14b-099a1253733e46bda8deef95fdec6fb-worker-3    1/1     Running   0          2d18h
xlmr-14b-099a1253733e46bda8deef95fdec6fb-worker-4    1/1     Running   0          2d18h
xlmr-14b-099a1253733e46bda8deef95fdec6fb-worker-5    1/1     Running   0          2d18h
xlmr-14b-099a1253733e46bda8deef95fdec6fb-worker-6    1/1     Running   0          2d18h
xlmr-14b-099a1253733e46bda8deef95fdec6fb-worker-7    1/1     Running   0          2d18h
xlmr-14b-099a1253733e46bda8deef95fdec6fb-worker-8    1/1     Running   0          2d18h
xlmr-14b-099a1253733e46bda8deef95fdec6fb-worker-9    1/1     Running   0          2d18h
xlmr-14b-705d36f18bb54fc18c7e3b1d1c37fea-master-0    1/1     Running   0          22h
xlmr-14b-705d36f18bb54fc18c7e3b1d1c37fea-worker-0    1/1     Running   0          22h
xlmr-14b-705d36f18bb54fc18c7e3b1d1c37fea-worker-1    1/1     Running   0          22h
xlmr-14b-705d36f18bb54fc18c7e3b1d1c37fea-worker-10   1/1     Running   0          22h
xlmr-14b-705d36f18bb54fc18c7e3b1d1c37fea-worker-11   1/1     Running   0          22h
xlmr-14b-705d36f18bb54fc18c7e3b1d1c37fea-worker-12   1/1     Running   0          22h
xlmr-14b-705d36f18bb54fc18c7e3b1d1c37fea-worker-13   1/1     Running   0          22h
xlmr-14b-705d36f18bb54fc18c7e3b1d1c37fea-worker-14   1/1     Running   0          22h
xlmr-14b-705d36f18bb54fc18c7e3b1d1c37fea-worker-2    1/1     Running   0          22h
xlmr-14b-705d36f18bb54fc18c7e3b1d1c37fea-worker-3    1/1     Running   0          22h
xlmr-14b-705d36f18bb54fc18c7e3b1d1c37fea-worker-4    1/1     Running   0          22h
xlmr-14b-705d36f18bb54fc18c7e3b1d1c37fea-worker-5    1/1     Running   0          22h
xlmr-14b-705d36f18bb54fc18c7e3b1d1c37fea-worker-6    1/1     Running   0          22h
xlmr-14b-705d36f18bb54fc18c7e3b1d1c37fea-worker-7    1/1     Running   0          22h
xlmr-14b-705d36f18bb54fc18c7e3b1d1c37fea-worker-8    1/1     Running   0          22h
xlmr-14b-705d36f18bb54fc18c7e3b1d1c37fea-worker-9    1/1     Running   0          22h
